osmid,latitude,longitude
1666710790,-21.1794503,-47.8388065
1666710800,-21.1798304,-47.8387618
1666710830,-21.1725737,-47.8439815
1666710831,-21.1853052,-47.8342064
1666710833,-21.1858753,-47.8377387
1666710837,-21.1829709,-47.8346136
1666710861,-21.1873477,-47.8348722
1666710863,-21.1729907,-47.8448206
1666710867,-21.1790303,-47.8350935
1666710873,-21.1789911,-47.8381047
1666710875,-21.1829322,-47.8394586
1666710876,-21.1725007,-47.8443079
1666710882,-21.1820727,-47.8365948
1666710895,-21.1838185,-47.8374968
1666710908,-21.1797214,-47.8393738
1666710913,-21.1826711,-47.8352749
1666710926,-21.1823693,-47.8359405
1666710951,-21.1785894,-47.8386954
1666712780,-21.165483,-47.8444071
1666712782,-21.16879,-47.8400619
1666712785,-21.1698393,-47.8386755
1666712787,-21.1712477,-47.8349039
1666712788,-21.1705561,-47.834304
1666712790,-21.1660635,-47.8452818
1666712791,-21.173928,-47.8359952
1666712793,-21.1719677,-47.8355352
1666712794,-21.1706724,-47.8356616
1666712796,-21.1699484,-47.835029
1666712797,-21.1705709,-47.8392718
1666712798,-21.1695005,-47.8406893
1666712800,-21.1732401,-47.8354031
1666712801,-21.1713664,-47.8362747
1666712803,-21.172109,-47.8369197
1667074275,-21.1571536,-47.8351586
1667074279,-21.1619027,-47.8412257
1667074283,-21.1542877,-47.8377662
1667074285,-21.1673949,-47.8353263
1667074288,-21.1647809,-47.8437932
1667074290,-21.1691474,-47.842797
1667074292,-21.1690681,-47.8380608
1667074294,-21.1583753,-47.8365332
1667074297,-21.1673144,-47.8435947
1667074299,-21.1630021,-47.8397739
1667074303,-21.1597657,-47.8393023
1667074306,-21.1658525,-47.8423147
1667074310,-21.1574043,-47.834842
1667074317,-21.1601723,-47.8372437
1667074321,-21.1608475,-47.8378494
1667074325,-21.1562111,-47.8353945
1667074327,-21.166067,-47.8360817
1667074329,-21.1669656,-47.8456864
1667074330,-21.1640405,-47.8431408
1667074336,-21.1720792,-47.8387004
1667074339,-21.1597697,-47.837758
1667074343,-21.1713608,-47.8398571
1667074349,-21.1687597,-47.8448696
1667074351,-21.1633342,-47.8345774
1667074356,-21.1680861,-47.8442259
1667074358,-21.1619495,-47.8364005
1667074361,-21.1690221,-47.8364855
1667074369,-21.1586107,-47.8334156
1667074371,-21.1575697,-47.8337452
1667074374,-21.1559286,-47.8367642
1667074377,-21.1633407,-47.8425017
1667074379,-21.1567029,-47.8347573
1667074381,-21.1638785,-47.8348826
1667074383,-21.1605767,-47.8367262
1667074386,-21.1587179,-47.8376043
1667074388,-21.1570273,-47.8353281
1667074390,-21.165137,-47.8416784
1667074392,-21.1665841,-47.8429489
1667074401,-21.1566713,-47.8358049
1667074403,-21.1591757,-47.8354735
1667074405,-21.1697388,-47.8370376
1667074407,-21.1558485,-47.8358527
1667074409,-21.1675686,-47.8368795
1667074410,-21.1601133,-47.8388355
1667074411,-21.1577809,-47.8343604
1667074413,-21.1553523,-47.8335195
1667074415,-21.166225,-47.8450544
1667074417,-21.1604524,-47.8383729
1667074428,-21.1683582,-47.8374932
1667074430,-21.1705296,-47.8375972
1667074432,-21.1563162,-47.8362626
1667074434,-21.1650555,-47.8333221
1667074438,-21.171291,-47.838132
1667074440,-21.1576782,-47.8374561
1667163944,-21.1669576,-47.8408729
1667163954,-21.1521318,-47.8333089
1667163956,-21.1627547,-47.833915
1667163959,-21.1630661,-47.8349471
1667163961,-21.1627086,-47.8337744
1667163962,-21.1612818,-47.8358171
1667163964,-21.164097,-47.8383076
1667163965,-21.1580268,-47.8369945
1667163967,-21.1659175,-47.837487
1667163971,-21.1680602,-47.8394041
1667163979,-21.1570432,-47.8377581
1667163981,-21.1676747,-47.841508
1667163983,-21.1598662,-47.8345592
1667163985,-21.1624018,-47.8343677
1667163986,-21.1590745,-47.8386797
1667163990,-21.1587777,-47.8360003
1667163991,-21.1684115,-47.8421499
1667164006,-21.1554495,-47.8363517
1667164009,-21.1536329,-47.8346938
1667164011,-21.1582259,-47.8346239
1667164017,-21.1626688,-47.8370382
1667164022,-21.1662342,-47.8402374
1667164028,-21.1702596,-47.8413379
1667164049,-21.1575275,-47.8376463
1667164052,-21.1589678,-47.8337322
1667164055,-21.1564601,-47.838999
1667164059,-21.1593418,-47.8332838
1667164062,-21.1673474,-47.8387629
1667167733,-21.1650054,-47.8355143
1667167734,-21.1680748,-47.8333966
1667167735,-21.1604711,-47.8399336
1667167736,-21.1637793,-47.8355834
